NOME;IDADE;MUNICIPIO
MARIANO RODRIGO ANTUNES;37;PARNAMIRIM
MARIANO RODRIGUES LOPES;55;NATAL
MARIANO ROSA BENTO;33;NATAL
MARIANO SANTOS CERQUEIRA;44;CERRO CORA
MARIANO SERRA DE ARAUJO;26;SAO TOME
MARIANO SILVA MARTINS;31;CAMPO REDONDO
MARIANO TREVISAN;40;NATAL
MARIANO VICENTINI PUERTAS;5;ANGICUS
MARIANOA BARBOSA DE SANTOS;18;NATAL
MARIANOA CAMILLE GARCIA CATELLANI;19;NATAL
MARIANOA CARLA CALIXTO DA SILVA;13;RIO DO FOGO
MARIANOA CRISTINA NEVES HONORIO SILVA;38;NATAL
MARIANOA DA SILVA SIQUIERI;25;MACA÷BA
MARIANOA GABRIELA SILVA DE SANTOS;26;ANGICUS
MARIANOA GALDINO FOSSA;27;NATAL
MARIANOA GRIGOLETTO;24;NATAL
MARIANOA PASTORINI;26;NATAL
MARIO ALVES DE ABREU;76;NATAL
MARIO BARROS OLIVEIRA;73;NATAL
MARIO BOTTOSSO;86;NATAL
MARIO DE BARROS FERREIRA;73;NATAL
MARIO FERREIRA DA SILVA;42;RIO DO FOGO
MARIO FLORENTINO DA SILVA;80;NATAL
MARIO JOAO FURINI;81;ANGICUS
MARIO MARQUES JUNIOR;28;NATAL
MARIO MARTELLI;77;CAMPO REDONDO
MARIO NEGRIZOLLI;61;NATAL
MARIO SACOMAM;73;NATAL
MARIOA DE FREITAS VIEIRA;69;ANGICUS
MARCELO AMARAL DOS SANTOS;49;CERRO CORA
MARCELO APARECIDO BILA;42;TENENTE ANANIAS
MARCELO APARECIDO DO NASCIMENTO;41;SAO TOME
MARCELO APARECIDO HONORIO CAVALCANTE;39;CAMPO REDONDO
MARCELO AVELLANEDA COUTO;57;MACA÷BA
MARCELO BATISTA NEPOMUCENO;44;NATAL
MARCELO BERNARDO;44;RIO DO FOGO
MARCELO BRAZ PAIAO;47;SANTA DO MATOS
MARCELO CARLOS DOS SANTOS;31;CERRO CORA
MARCELO CARREIRA CAVALCANTE;41;NATAL
MARCELO CESAR HERLING;44;RIO DO FOGO
MARCELO CESARIO RIBAS;50;NATAL
MARCELO CEZAR DA COSTA;42;NATAL
MARCELO CIPOLA PERALTA;64;NATAL
MARCELO COELHO DA SILVA;42;SAO TOME
MARCELO DE ARAUJO;41;SAO TOME
MARCELO DE OLIVEIRA BERCOCANO;44;NATAL
MARCELO DIAS;52;SAO TOME
MARCELO DONHA SCHMID;43;NATAL
MARCELO DOS SANTOS FERNANDES;42;NATAL
MARCELO ESTACIO FILHO;34;NATAL
MARCELO FAGUNDES DA SILVA;53;SAO TOME
MARCELO FRANCISCO DE OLIVEIRA;41;TANGARA
MARCELO GOES;43;SAO TOME
MARCELO GONCALVES;57;NATAL
MARCELO GONCALVES OLIVEIRA;50;NATAL
MARCELO HISSATO MADA;49;NATAL
MARCELO LUIS DOMINGUES;50;NATAL
MARCELO LUIZ CRISTOVAM DE ALMEIDA;62;SAO TOME
MARCELO MARCO PENA;56;NATAL
MARCELO MARQUES DO ROSARIO;48;PARNAMIRIM
MARCELO MATSU;50;NATAL
MARCELO MEDEIROS;56;SANTO ANTONIO
MARCELO NEVES DA SILVA;50;NATAL
MARCELO NONATO;60;SAO TOME
MARCELO PEREIRA;40;NATAL
MARCELO PINHEIRO FERREIRA;75;SANTA CRUZ
MARCELO RODRIGUES DA SILVA;42;TANGARA
MARCELO ROGERIO LEITE;45;MACA÷BA
MARCELO SOARES SANTOS;41;CERRO CORA
MARCELO VILLAR TAMOS;70;CERRO CORA
NEUSA LUZIA DOS SANTOS;74;RIO DO FOGO
VANESSA TEODORO DE RESENDE;45;NATAL
